Timestamp,Target_Deg,Real_Deg,Error_Deg,Voltage_mV,Raw_Vel,Filtered_Vel,V_EMF,Control_Mode
16:11:55.210,-4.999999999999994,-6.615023065540952,1.6150230655409576,9500.0,-13.0,-2.05956199104184,-10.975773532444398,3.0
16:11:55.229,-4.999999999999994,-7.050221951431804,2.05022195143181,9500.0,-1.0,-1.9324145521168195,-10.298182131485698,3.0
16:11:55.249,-4.999999999999994,-6.9631821742536335,1.9631821742536393,9500.0,0.0,-1.700524805862801,-9.062400275707413,3.0
16:11:55.270,-4.999999999999994,-6.9631821742536335,1.9631821742536393,9500.0,0.0,-1.496461829159265,-7.9749122426225245,3.0
16:11:55.289,-4.999999999999994,-6.005744625293759,1.0057446252937647,6665.300540118484,37.0,3.1231135903398464,16.64362987507333,3.0
16:11:55.310,-4.999999999999994,-3.8297501958394986,-1.1702498041604956,-7475.810499082907,18.0,4.908339959499065,26.157419902887796,3.0
16:11:55.329,-4.999999999999994,-2.698233092523283,-2.3017669074767113,-9500.0,-2.0,4.079339164359177,21.73952666867201,3.0
16:11:55.350,-4.999999999999994,-3.307511532770476,-1.6924884672295182,-9500.0,-13.0,2.0298184646360755,10.817264970281231,3.0
16:11:55.369,-4.999999999999994,-4.003829750195839,-0.9961702498041549,-6590.160988067362,2.0,2.0262402488797466,10.798196019716736,3.0
16:11:55.389,-4.999999999999994,-4.09086952737401,-0.9091304726259845,-6141.371669499275,0.0,1.7830914190141771,9.502412497350727,3.0
16:11:55.409,-4.999999999999994,-4.700147967621203,-0.29985203237879154,-3003.192094772183,-18.0,-0.5908795512675242,-3.148902615154624,3.0
16:11:55.429,-4.999999999999994,-6.35390373400644,1.3539037340064464,8439.990939525269,-12.0,-1.9599740051154213,-10.445051376551579,3.0
16:11:55.449,-4.999999999999994,-7.137261728609975,2.13726172860998,9500.0,-2.0,-1.9647771245015708,-10.47064805723464,3.0
16:11:55.469,-4.999999999999994,-7.050221951431804,2.05022195143181,9500.0,-1.0,-1.8490038695613822,-9.85367171330111,3.0
16:11:55.490,-4.999999999999994,-7.050221951431804,2.05022195143181,9500.0,0.0,-1.6271234052140164,-8.671231107704976,3.0
16:11:55.509,-4.999999999999994,-6.702062842719122,1.702062842719128,9500.0,15.0,0.3681314034116654,1.9618379692390064,3.0
16:11:55.529,-4.999999999999994,-4.526068413264862,-0.47393158673513236,-3888.479442869403,17.0,2.3639556350022657,12.597941602818965,3.0
16:11:55.549,-4.999999999999994,-2.698233092523283,-2.3017669074767113,-9500.0,11.0,3.4002809588019938,18.120704262761574,3.0
16:11:55.569,-4.999999999999994,-2.7852728697014535,-2.2147271302985407,-9500.0,-3.0,2.6322472437457547,14.027715482426308,3.0
16:11:55.589,-4.999999999999994,-3.8297501958394986,-1.1702498041604956,-7495.8863596017245,-12.0,0.8763775744962641,4.670372549319641,3.0
16:11:55.609,-4.999999999999994,-4.003829750195839,-0.9961702498041549,-6595.81249502658,1.0,0.8912122655567124,4.74942926633591,3.0
16:11:55.630,-4.999999999999994,-4.09086952737401,-0.9091304726259845,-6146.9424970463215,-1.0,0.6642667936899069,3.539996331440975,3.0
16:11:55.649,-4.999999999999994,-5.309426407868395,0.30942640786840137,3043.1005798322863,-16.0,-1.3354452215528818,-7.1168259952859545,3.0
16:11:55.669,-4.999999999999994,-6.789102619897292,1.7891026198972986,9500.0,-5.0,-1.7751917949665361,-9.460313990524769,3.0
16:11:55.689,-4.999999999999994,-6.876142397075463,1.876142397075469,9500.0,4.0,-1.082168779570552,-5.767070619923294,3.0
16:11:55.709,-4.999999999999994,-6.876142397075463,1.876142397075469,9500.0,0.0,-0.9523085260220857,-5.0750221455324995,3.0
16:11:55.729,-4.999999999999994,-6.876142397075463,1.876142397075469,9500.0,0.0,-0.8380315028994354,-4.466019488068599,3.0
16:11:55.749,-4.999999999999994,-5.657585516581078,0.657585516581083,4856.833042166245,18.0,1.422532277448497,7.5809284633228975,3.0
16:11:55.769,-4.999999999999994,-3.394551309948646,-1.6054486900513478,-9500.0,19.0,3.5318284041546772,18.821744083482038,3.0
16:11:55.790,-4.999999999999994,-2.7852728697014535,-2.2147271302985407,-9500.0,0.0,3.108008995656116,16.563134793464197,3.0
16:11:55.809,-4.999999999999994,-3.742710418661328,-1.2572895813386662,-7942.009220958796,-9.0,1.6550479161773821,8.82004581183686,3.0
16:11:55.829,-4.999999999999994,-4.003829750195839,-0.9961702498041549,-6591.803111597867,2.0,1.6964421662360962,9.040643160285688,3.0
